MEP_system,Image_ID,Ansatz,Fine-tune/Train_steps,E(Hartree)
Ethane,16,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64693769285414
Ethane,17,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64670731777615
Ethane,18,"Orbformer fine-tune LAC (400k), all structures",8000,-79.64709048173692
Ethane,19,"Orbformer fine-tune LAC (400k), all structures",8000,-79.6466437719557
Ethane,0,"Orbformer fine-tune LAC (400k), all structures",16000,-79.82235926861233
Ethane,1,"Orbformer fine-tune LAC (400k), all structures",16000,-79.8201140598721
Ethane,2,"Orbformer fine-tune LAC (400k), all structures",16000,-79.81364706641303
Ethane,3,"Orbformer fine-tune LAC (400k), all structures",16000,-79.76773523390028
Ethane,4,"Orbformer fine-tune LAC (400k), all structures",16000,-79.7072121957567
Ethane,5,"Orbformer fine-tune LAC (400k), all structures",16000,-79.65257759738498
Ethane,6,"Orbformer fine-tune LAC (400k), all structures",16000,-79.63117181125217
Ethane,7,"Orbformer fine-tune LAC (400k), all structures",16000,-79.59869754545424
Ethane,8,"Orbformer fine-tune LAC (400k), all structures",16000,-79.59472046195137
Ethane,9,"Orbformer fine-tune LAC (400k), all structures",16000,-79.63206828333537
Ethane,10,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64113815434774
Ethane,11,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64578276697794
Ethane,12,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64559375228882
Ethane,13,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64590326978896
Ethane,14,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64705319154527
Ethane,15,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64795859926012
Ethane,16,"Orbformer fine-tune LAC (400k), all structures",16000,-79.6481261279636
Ethane,17,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64832695041233
Ethane,18,"Orbformer fine-tune LAC (400k), all structures",16000,-79.64850661137899
Ethane,19,"Orbformer fine-tune LAC (400k), all structures",16000,-79.6481872388204
Ethane,0,"Orbformer fine-tune LAC (400k), all structures",32000,-79.82279001193577
Ethane,1,"Orbformer fine-tune LAC (400k), all structures",32000,-79.8208029645284
Ethane,2,"Orbformer fine-tune LAC (400k), all structures",32000,-79.81405492502849
Ethane,3,"Orbformer fine-tune LAC (400k), all structures",32000,-79.76857064259848
Ethane,4,"Orbformer fine-tune LAC (400k), all structures",32000,-79.70757427249485
Ethane,5,"Orbformer fine-tune LAC (400k), all structures",32000,-79.65334869071113
Ethane,6,"Orbformer fine-tune LAC (400k), all structures",32000,-79.63152469092475
Ethane,7,"Orbformer fine-tune LAC (400k), all structures",32000,-79.59936870651245
Ethane,8,"Orbformer fine-tune LAC (400k), all structures",32000,-79.59572310663859
Ethane,9,"Orbformer fine-tune LAC (400k), all structures",32000,-79.6328892179701
Ethane,10,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64165544170804
Ethane,11,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64660120264689
Ethane,12,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64638880761339
Ethane,13,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64675515187581
Ethane,14,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64784665739272
Ethane,15,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64847104788886
Ethane,16,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64868810636732
Ethane,17,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64892591171265
Ethane,18,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64924765048556
Ethane,19,"Orbformer fine-tune LAC (400k), all structures",32000,-79.64866351555719
Ethane,0,"Psiformer scratch (large batch), single structures",10000,-79.81227704366049
Ethane,1,"Psiformer scratch (large batch), single structures",10000,-79.80757560729981
Ethane,2,"Psiformer scratch (large batch), single structures",10000,-79.80078491210938
Ethane,3,"Psiformer scratch (large batch), single structures",10000,-79.75608200073242
Ethane,4,"Psiformer scratch (large batch), single structures",10000,-79.69343856811524
Ethane,5,"Psiformer scratch (large batch), single structures",10000,-79.63791666666667
Ethane,6,"Psiformer scratch (large batch), single structures",10000,-79.61987632751465
Ethane,7,"Psiformer scratch (large batch), single structures",10000,-79.58389038085937
Ethane,8,"Psiformer scratch (large batch), single structures",10000,-79.584953028361
Ethane,9,"Psiformer scratch (large batch), single structures",10000,-79.62175346374512
Ethane,10,"Psiformer scratch (large batch), single structures",10000,-79.6269580078125
Ethane,11,"Psiformer scratch (large batch), single structures",10000,-79.63440808614095
Ethane,12,"Psiformer scratch (large batch), single structures",10000,-79.63268262227376
Ethane,13,"Psiformer scratch (large batch), single structures",10000,-79.63213137308756
Ethane,14,"Psiformer scratch (large batch), single structures",10000,-79.63552419026692
Ethane,15,"Psiformer scratch (large batch), single structures",10000,-79.63838584899902
Ethane,16,"Psiformer scratch (large batch), single structures",10000,-79.64086903889974
Ethane,17,"Psiformer scratch (large batch), single structures",10000,-79.635857035319
Ethane,18,"Psiformer scratch (large batch), single structures",10000,-79.63267636617024
Ethane,19,"Psiformer scratch (large batch), single structures",10000,-79.63591517130534
Ethane,0,"Psiformer scratch (large batch), single structures",20000,-79.81561096191406
Ethane,1,"Psiformer scratch (large batch), single structures",20000,-79.81302584330241
Ethane,2,"Psiformer scratch (large batch), single structures",20000,-79.80680399576823
Ethane,3,"Psiformer scratch (large batch), single structures",20000,-79.76074618021647
Ethane,4,"Psiformer scratch (large batch), single structures",20000,-79.70200813293457
Ethane,5,"Psiformer scratch (large batch), single structures",20000,-79.64417526245117
