Ansatz,System,Fine-tune step,Geometry,E
orbformer_finetune_joint_tm_512k,CNOH,1000,7,-168.61492203773193+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,8,-168.56357663458027+/-0
orbformer_finetune_joint_tm_512k,CNOH,1000,9,-168.6243020969077+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,0,-168.61145677226165+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,1,-168.59829478630743+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,2,-168.63840323104301+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,3,-168.5631224763819+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,4,-168.59890811505383+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,5,-168.60438343910948+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,6,-168.61954890452233+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,7,-168.61763021966638+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,8,-168.57320675330058+/-0
orbformer_finetune_joint_tm_512k,CNOH,4000,9,-168.6291353204892+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,0,-168.61287121498864+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,1,-168.60010509823582+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,2,-168.64158636570363+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,3,-168.56369457844534+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,4,-168.59556417262453+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,5,-168.6070358421718+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,6,-168.61822482679244+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,7,-168.6178614248272+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,8,-168.57314512566998+/-0
orbformer_finetune_joint_tm_512k,CNOH,8000,9,-168.6261585207889+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,0,-168.62004556208225+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,1,-168.6077464058575+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,2,-168.64669645776658+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,3,-168.56989640400957+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,4,-168.60297018003888+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,5,-168.61552738556222+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,6,-168.6283797827666+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,7,-168.62521133024185+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,8,-168.57800657552195+/-0
orbformer_finetune_joint_tm_512k,CNOH,16000,9,-168.6376122630884+/-0
